Glosse	Nr	Stichwörter	Bedeutungen	Einheit	Untereinheit	BS	BE	LU	SG	ZH	Movie	Stufe
klar_2	4541	'klar, deutlich, hell'	'(Adj.) klar, deutlich, hell  z.B. - Jetzt ist die Lösung meines Problems klar, jetzt hat sich das Problem geklärt. - Die Sterne leuchten so hell und klar am Nachthimmel.'	1	d	•	•		•		4541	1
neun	6509	'9, neun'	(Zahlwort) neun (9)	1	d	•	•	•	•	•	6509	1
sechs	6506	'6, sechs'	(Zahlwort) sechs (6)	1	d	•	•	•	•	•	6506	1
sieben	6507	'7, sieben'	(Zahlwort) sieben (7)	1	d	•	•	•	•	•	6507	1
stimmt	425	'stimmt, ja, richtig, korrekt'	'(Rückmeldung) stimmt, ja,  richtig, korrekt'	1	d	•	•	•	•	•	425	1
verstehen	239	'verstehen, aufnehmen, verstanden'	'(V.) verstehen, aufnehmen, verstanden  z.B. Vortrag, Meinung, Inhalt, Sinn   '	1	d	•	•	•	•	•	239	1
zehn	6510	'10, zehn'	(Zahlwort) zehn (10)	1	d	•	•	•	•	•	6510	1
achtzehn_1	6518	'18, achtzehn'	(Zahlwort) achtzehn (18)	2	a		•			•	6518	1
achtzehn_2	4468	'18, achtzehn'	(Zahlwort) achtzehn (18)	2	a	•			•		4468	1
achtzehn_3	8749	achtzehn	achtzehn	2	a			•			8749	1
alt	478	'alt, <Alter>, <Menschenalter>, <Lebensalter>'	'(Adj.) alt (Mensch, Objekt)   Notiz: für die Deutschübersetzung auch als Nomen, (das Alter, das Menschenalter, das Lebensalter)'	2	a	•	•	•	•	•	478	1
Bub_1	494	'Bub, Knabe, Junge'	'(N.) Bub, Knabe, Junge'	2	a	•	•	•		•	494	1
Bub_2	860	'Bub, Knabe, Junge'	'(N.) Bub, Knabe, Junge'	2	a				•		860	1
dreizehn_1	6513	'13, dreizehn'	(Zahlwort) dreizehn (13)	2	a		•			•	6513	1
dreizehn_2	6555	'13, dreizehn'	(Zahlwort) dreizehn (13)	2	a			•			6555	1
dreizehn_3	4489	'13, dreizehn'	(Zahlwort) dreizehn (13)	2	a	•			•		4489	1
elf_1	6554	'11, elf'	(Zahlwort) elf (11)	2	a					•	6554	1
elf_2	4683	'11, elf'	(Zahlwort) elf (11)	2	a	•			•		4683	1
elf_3	26	'11, elf'	(Zahlwort) elf (11)	2	a			•			26	1
elf_4	6511	'11, elf'	'(Zahlwort) elf, 11'	2	a		•				6511	1
fest	5203	'fest, kräftig, mollig, vollschlank, korpulent'	'(Adj.) fest, kräftig, 'gut gebaut', mollig, vollschlank, korpulent (Körper, Statur)  '	2	a	•	•	•	•	•	5203	1
Frau	5126	'Frau, Dame, Weib'	'(N.) Frau, Dame (altdeutsch: Weib)'	2	a	•	•	•	•	•	5126	1
fünfzehn_1	6515	'15, fünfzehn'	(Zahlwort) fünfzehn (15)	2	a		•			•	6515	1
fünfzehn_2	6542	'15, fünfzehn'	'(Zahl) Fünfzehn, 15'	2	a	•			•		6542	1
fünfzehn_3	8746	'15, fünfzehn'	'(Zahl) Fünfzehn, 15'	2	a			•			8746	1
gebärden_1	489	'gebärden, plaudern, Gebärde'	'(V.) gebärden, plaudern (in Gebärdensprache kommunizieren)  (N.) Gebärde'	2	a	•	•	•		•	489	1
gebärden_2	4504	'gebärden, plaudern, Gebärde'	'(V.) gebärden, plaudern (in Gebärdensprache kommunizieren)  (N.) Gebärde'	2	a				•		4504	1
gross_a	279	'gross, Grösse'	'(Adj.) gross  (N.) Grösse, Frage nach der Grösse  Notiz: senkrechte Dimension eines Objekts oder Person'	2	a	•	•	•	•	•	279	1
gross_b	5447	'gross, umfangreich'	'(Adj.) gross, umfangreich (allgemein)  Notiz: waagrechte Dimension eines Objekts, einer Sache  z.B. - ein grosses umfangreiches Projekt - ein riesengrosser Stein, versperrte den Weg'	2	a	•	•	•	•	•	5447	1
Haar	2916	Haar	(N.) Haar	2	a	•	•	•	•	•	2916	1
Jahre_alt	1947	Jahre_alt	'(Adj.) alt, eine gewisse Zahl Jahre alt  oft kombiniert mit Zahl: 4 Jahre alt = VIER JAHRE_ALT  als Antwort auf die Frage: wie alt ist jmd.?'	2	a	•	•	•	•	•	1947	1
jung	454	'jung, Jugendlicher, Jugend'	'(Adj.) jung, jung sein, aussehen, jung geblieben (Mensch, Charakter, Verhalten)  (N.) Jugendlicher = JUNG mit Mundbild 'jung' oder 'Jungendliche'  z.B. - Sie ist eine junge Mutter! - Sie sieht jung aus! - Jugendliche organisieren eine Disco.  '	2	a	•	•	•	•	•	454	1
klein_a	5434	'klein, kleingewachsen, kleinwüchsig'	'(Adj.) klein, kleingewachsen, kleinwüchsig (Mensch)'	2	a	•	•	•	•	•	5434	1
klein_b	3419	'klein, jung, kleines, junges'	'(Adj.) klein, kleines, jung, sehr junges (Tier)  z.B. - Hund/Hündchen - Katze/Kätzchen'	2	a	•	•	•	•	•	3419	1
können_1	8387	'können, kann, fähig, imstande, beherrschen'	'(V., Modal) können, kann, fähig sein, imstande sein, beherrschen  Notiz: zu etwas fähig sein, etwas können, eine Sache/Arbeit/Fertigkeit beherrschen'	2	a	•	•	•		•	8387	1
können_2	4523	'können, kann, fähig, imstande, beherrschen'	'(V., Modal) können, kann, fähig sein, imstande sein, beherrschen  Notiz: zu etwas fähig sein, etwas können, eine Sache/Arbeit/Fertigkeit beherrschen'	2	a				•		4523	1
lange_Haar	1950	'lang, langhaarig'	'(Adj.) lang (Haar), langhaarig  z.B. jmd. hat langes Haar, jmd. trägt sein Haar lang'	2	a	•	•	•	•	•	1950	1
Mädchen_1	597	Mädchen	(N.) Mädchen	2	a					•	597	1
Mädchen_2 	601	Mädchen	(N.) Mädchen	2	a	•	•		•		601	1
Mädchen_3	602	Mädchen	(N.) Mädchen	2	a			•			602	1
Mann_1	3107	'Mann, Herr, Herren'	'(N.) Mann  (N.) Herr, Herren (als Begrüssung)  z.B. Guten Tag verehrte Herren!'	2	a			•		•	3107	1
Mann_2	595	'Mann, Herr, Herren'	'(N.) Mann  (N.) Herr, Herren (als Begrüssung)  z.B. Guten Tag verehrte Herren!'	2	a		•		•		595	1
Mann_3	4721	'Mann, Herr, Herren'	'(N.) Mann  (N.) Herr, Herren (als Begrüssung)'	2	a	•					4721	1
neunzehn_1	6519	'19, neunzehn'	(Zahlwort) neunzehn (19)	2	a		•			•	6519	1
neunzehn_2	8750	'19, neunzehn'	(Zahlwort) neunzehn (19)	2	a			•			8750	1
neunzehn_3	7381	'19, neunzehn'	(Zahlwort) neunzehn (19)	2	a	•			•		7381	1
pff!	795	'pff!, interessant!, erstaunlich!, ach!'	'(Interjektion, Rückmeldung) interessant!, was du nicht sagst!, ach wirklich!, habe ich nicht gewusst  Notiz: oft als Reaktion auf eine Erzählung oder Neuigkeit  '	2	a	•	•	•	•	•	795	1
schlank_a	898	schlank	'(Adj.) schlank (Person, Tier)  '	2	a	•	•	•	•	•	898	1
schlank_b	4855	schlank	'(Adj.) schlank (Person, Tier, Gegenstand)'	2	a	•	•	•	•	•	4855	1
Schnauz	914	'Schnauz, Oberlippenbart'	'(N.) Schnauz, Oberlippenbart  Notiz: entsprechende Beschreibung zeigt die genaue Form des Schnauzes'	2	a	•	•	•	•	•	914	1
