Glosse	Nr	Stichwörter	Bedeutungen	Einheit	Untereinheit	BS	BE	LU	SG	ZH	Movie	Stufe
6651	Winterferien_1	Winterferien	(N.) Winterferien	3	b	•	•	•		•	2	Freizeit, Ferien, Reisen, Nomen	3 b
5695	Winterferien_2	Winterferien	(N.) Winterferien	3	b				•		2	Freizeit, Ferien, Reisen, Nomen	3 b
4351	Winterthur	Winterthur	(N., Name) Winterthur (Stadt im Kanton Zürich)	2	c	•	•	•	•	•	2	Länder, Städte, Namen, Nomen	2 c
4569	wissen_a	wissen	(V.) wissen	3	d	•	•	•	•	•	2	Verben	3 d
9513	Wissen_b	Wissen, Kenntnis	(N.) Wissen, Kenntnis$z.B. der hat ein grosses Wissen, er weiss viel über etwas	3	d	•	•	•	•	•	2	Nomen	3 d
5399	Witz_1	Witz, Scherz, Spass	(N.) Witz, Scherz, Spass	1	d	•	•	•		•	2	Nomen	1 d
5623	Witz_2	Witz, Scherz, Spass	(N.) Witz, Scherz, Spass	1	d	•			•		2	Nomen	1 d
2284	Wochenende	Wochenende	(N.) Wochenende	2	b	•	•	•	•	•	2	Zeit_Kalender, Nomen	2 b
381	wohl_1	wohl, zufrieden, angenehm, gesund	(Adj.) wohl, wohl sein, angenehm, zufrieden, gesund$z.B.$- Es ist mir wohl.$- wohl fühlen, sich in seiner Haut wohl fühlen	3	c				•	•	2	Adj., Adv.	3 c
5706	wohl_2	wohl, zufrieden, angenehm, gesund	(Adj.) wohl, wohl sein, angenehm, zufrieden, gesund$z.B.$- Es ist mir wohl.$- wohl fühlen, sich in seiner Haut wohl fühlen	3	c		•	•			2	Adj., Adv.	3 c
5744	wohl_3	wohl, zufrieden, angenehm, gesund	(Adj.) wohl, wohl sein, angenehm, zufrieden, gesund$z.B.$- Es ist mir wohl.$- wohl fühlen, sich in seiner Haut wohl fühlen	3	c	•					2	Adj., Adv.	3 c
2055	Wolf	Wolf	(N.) Wolf (Tier)	4	c	•	•	•	•	•	2	Tiere, Nomen	4 c
8240	wollen_a	wollen, will	(V.) wollen, will$Notiz: mit Nachdruck, mit Bestimmtheit etwas wollen (eher hohes Register, nicht persönlich)	2	c	•	•	•	•	•	2	Verben	2 c
3548	wollen_b	wollen, gängeln	(V.) wollen, gängeln, fest wollen, unbedingt wollen (Kind)$z.B.$- Kind besteht auf einen Wunsch$- dickköpfig, verwöhnt$- es gängelt$- das Kind will etwas	2	c	•	•	•	•	•	2	Verben	2 c
692	wünschen_a	wünschen, begehren	(V.) wünschen, begehren$z.B. ich wünsche mir ein neues Auto	3	d	•	•	•	•	•	2	Feste, Verben	3 d
691	wünschen_b	wünschen, Wunsch	(V.) wünschen$(N.) Wunsch$Notiz: Frage nach, was hast du für einen Wunsch? Was wünscht du dir? oder auch ich wünsche mir etwas (ein Herzenswunsch, ein persönlicher Wunsch)	3	d	•	•	•	•	•	2	Feste, Nomen, Verben	3 d
8151	wünschen_c	wünschen, Wunsch	(V.) wünschen$(N.) Wunsch$z.B.$- ich wünsche dir alles Gute!$- mein guter Wunsch soll dich begleiten	3	d	•	•	•	•	•	2	Feste, Nomen, Verben	3 d
7147	Wurst	Wurst	(N.) Wurst (Fleischprodukt)	4	c	•	•	•	•	•	2	Essen, Nomen	4 c
3052	Zahnarzt	Zahnarzt	(N.) Zahnarzt	2	d	•	•	•	•	•	2	Nomen	2 d
8341	Zeichnung	Zeichnung, Illustration, Skizze, Entwurf	(N.) Zeichnung, Illustration, Skizze, Entwurf	1	c	•	•	•	•	•	2	Freizeit, Ferien, Reisen, Nomen	1 c
365	Zeit_a	Zeit, Zeitdauer, Zeitraum	(N.) Zeit, Zeitdauer, Zeitraum (Zeit Intervall)$(V.) Zeit läuft, vergeht (schnell, normal, langsam)	1	a	•	•	•	•	•	2	Zeitwort, Nomen, Verben	1a
2338	Zeit_b	Zeit, Zeitpunkt	(N.) Zeit, Zeitpunkt (Frage nach dem Zeitpunkt)$z.B.$- Zeit haben$- Um welche Zeit bist du dort?	1	a	•	•	•	•	•	2	Zeitwort, Nomen	1a
1711	Zeitschrift_1	Zeitschrift, Journal, Heft	(N.) Zeitschrift, Journal, Heft	1	b	•		•		•	2	Medien, Nomen	1 b
5658	Zeitschrift_2	Zeitschrift, Journal, Heft	(N.) Zeitschrift, Journal, Heft	1	b		•		•		2	Medien, Nomen	1 b
2234	Zelt	Zelt, Campingzelt, (zelten)	(N.) Zelt, Campingzelt$(zelten = SCHLAFEN ZELT)	4	b	•	•	•	•	•	2	Freizeit, Ferien, Reisen, Nomen	4 b
704	Zentrum	Zentrum, zentral	(N.) Zentrum$z.B. Gehörlosen Zentrum$(Adj.) zentral$z.B. Ort liegt zentral	4	b	•	•	•	•	•	2	Landschaft, Adj., Adv., Nomen	4 b
8137	Zettel	Zettel, Notizzettel, Memo	(N.) Zettel, kleines Papier oder Blatt, Notizzettel, Memo	4	b	•	•	•	•	•	2	Nomen	4 b
7018	zuerst	zuerst	(Adv.) zuerst, am Anfang, zu Beginn, zuerst, als erstes	2	c	•	•	•	•	•	2	Adj., Adv.	2 c
5042	zufrieden_a	zufrieden, einverstanden	(Adj.) zufrieden, einverstanden$(V., V.-Zustand) zufrieden sein	1	b	•	•	•	•	•	2	Adj., Adv., Verben	1 b
5117	zufrieden_b	zufrieden, wohlsein, sich wohl fühlen	(Adj.) zufrieden fühlen, zufrieden sein, sich wohl fühlen, nichts zu beanstanden haben, wohlsein$z.B. ein zufriedener Mensch sein	1	b	•	•	•	•	•	2	Adj., Adv.	1 b
1124	zuletzt	zuletzt	(Adv.) zuletzt, am Schluss, zum Schluss (als Folge von)	2	c	•	•	•	•	•	2	Adj., Adv.	2 c
5219	zurück	zurück, retour	(Adv.) zurück, retour$z.B. zurück bezahlen, sofort zurück kommen, Bücher zurück geben	3	b	•	•	•	•	•	2	Adj., Adv.	3 b
8270	zusammen_a	zusammen	(Adj.) zusammen, zu zweit (Menschen)$(V.) zusammen gehören$z.B. jene/diese beiden Menschen, gehören zusammen	1	a	•	•	•	•	•	2	Familie, Adj., Adv., Verben	1:00 AM
2524	zusammen_b	zusammen, Zusammenhalt, Zusammenhang, unzertrennlich	(Adj.) zusammen, unzertrennlich$(intensive Verbindung, enge Beziehung)$(N.) Zusammenhalt, Zusammenhang$z.B. bei Zwillingen	1	a	•	•	•	•	•	2	Familie, Adj., Adv., Nomen	1:00 AM
8483	zusammen_c	zusammen, gemeinsam	(Adj., Adv.) zusammen, gemeinsam, in Form einer Gruppe (Gruppe, Leute)	1	a	•	•	•	•	•	2	Familie, Adj., Adv.	1:00 AM
374	zusammen_d	zusammen, unzertrennlich	(Adj., Adv.) zusammen, zusammen gehören, zusammenhalten, immer zusammen sein, aneinander kleben, unzertrennlich (Personen, Tiere)$z.B. Das junge Kätzchen klebt an seiner Mutter.	1	a	•	•	•	•	•	2	Familie, Feste, Adj., Adv.	1a
6611	zweite_b	2., zweite, zweitens, Zweite	(Ordinalzahl) zweite, zweitens (2.) (in einer Liste)	1	d	•	•	•	•	•	2	Zahlen	1 d
144	zwischen	zwischen, während	(Präp.) zwischen, während (Spielraum zwischen zwei Eckdaten oder Eckpunkten und Zeitraum)$z.B.$- unter der Woche$- zwischen dem 1. und 15. März$- zwischen 8 und 9 Uhr$- Verkaufspreis liegt zwischen Fr. 200.- und Fr. 300.-$- Durchgang zwischen den Abschrankungen verboten	3	c	•	•	•	•	•	2		3 c
2497	ab	ab, abwärts, hinunter, hinab, absteigen, hinuntergehen	(Adv.) ab (räumlich), abwärts, hinunter, hinab, nach unten$(V.) absteigen, hinuntergehen	•	•	•	•	•	Adj._Adv., Verb	2	c	3
5402	Abfall	Abfall, Müll, Abfalleimer	(N.) Abfall, Müll$(N.) Abfalleimer, Abfallkübel$z.B. Diese Speisen sind verdorben, wirf sie in den Abfall!	•	•	•	•	•	Haushalt, Nomen	4	c	3
243	abholen	abholen	(V.) abholen, etwas holen gehen (Person, Tier, Gegenstand)	•	•	•	•	•	Einkaufen, Reisen, Verb	3	a	3
4102	Ablauf	Ablauf, Vorgehen, Verlauf, ablaufen, Zeitablauf	(N.) Ablauf, Vorgehen, Verlauf, Prozess$(N.) Zeitablauf$(V.) ablaufen, verlaufen	•	•	•	•	•	Zeit, Nomen, Verb	1	d	3
347	ablesen	ablesen	(V.) ablesen, Lippen lesen	•	•	•	•	•	Schule, Verb	3	c	3
5192	abnehmen	abnehmen, reduzieren, verringern, schrumpfen, ausrotten, aussterben	(V.) abnehmen, reduzieren, verringern, schrumpfen, immer weniger werden (Menschen, Tieren, Natur)$z.B.$- Teilnehmerzahl im Kurs schrumpft$- Bäume im Wald werden immer weniger$- Tierarten sterben aus, werden ausgerottet	•	•	•	•	•	Verb	3	b	3
5942	abschweifen	abschweifen, abweichen, entfernen	(V.) abschweifen, abweichen, sich entfernen	•	•	•	•	•	Verb	3	c	3
333	Abstand	Abstand	(N.) Abstand$(V.) Abstand nehmen, einhalten$Notiz: für grosse Objekte, Ausführungsstelle je nach Objekt$z.B.$- Autos mit Abstand parkieren$- auf der Autobahn Abstand halten	•	•	•	•	•	Nomen, Verb	4	b	3
5832	abziehen	abziehen, subtrahieren, abheben	(V.) abziehen, subtrahieren (mathematisch)$(V.) abheben (Geld vom Konto)	•	•	•	•	•	Geld, Verb	2	a	3
1188	achthundert_1	800, achthundert	(Zahlwort) achthundert (800)	•		•	•	•	Nomen	2	a	3
6715	achthundert_2	800, achthundert	(Zahlwort) achthundert (800)		•				Nomen	2	a	3
7226	Adler	Adler	(N.) Adler	•	•	•	•	•	Tier, Nomen	4	a	3
2821	Adresse	Adresse, Anschrift, Wohnadresse	(N.) Adresse, Anschrift, Wohnadresse	•	•	•	•	•	Medien, Nomen	3	a	3
2822	Advent	Advent, Adventszeit, Vorweihnachtszeit	(N.) Advent, Adventszeit, Vorweihnachtszeit	•	•	•	•	•	Feste, Nomen	3	b	3
1007	Afrika_int	Afrika, afrikanisch	(N., Name) Afrika, «schwarzer Kontinent» (Kontinent) (auch internationale Gebärde)$(Adj.) afrikanisch	•	•	•	•	•	Geografie, Name, Nomen	4	c	3
9039	aggressiv	aggressiv	(Adj.) aggressiv	•	•	•	•	•	Tier, Adj._Adv.	4	b	3
373	ähnlich	ähnlich	(Adj.) ähnlich, fast gleich	•	•	•	•	•	Adj._Adv.	3	c	3
3735	Aktion	Aktion, Ausverkauf, Preisreduktion, vergünstigt	(N.) Aktion, Ausverkauf, Preisreduktion$(Adj.) vergünstigt, preislich reduziert	•	•	•	•	•	Einkaufen, Kleider, Nomen	2	b	3
5957	Albanien_int_1	Albanien	(N., Name) Albanien (Land) (auch internationale Gebärde)	•	•	•	•	•	Geografie, Name, Nomen	4	d	3
5762	Albanien_int_2	Albanien	(N., Name) Albanien (Land) (auch internationale Gebärde)	•	•	•	•	•	Geografie, Name, Nomen	4	d	3
5163	altmodisch_a	altmodisch, unmodern, rückständig	(Adj.) altmodisch, nicht modern, unmodern, rückständig (Kleider, Meinung, Dinge)	•	•	•	•	•	Charakter, Adj._Adv.	1	c	3
216	altmodisch_b	altmodisch, hässlich	(Adj.) altmodisch (im negativen Sinn), hässlich$z.B. Kleider	•	•	•	•	•	Charakter, Adj._Adv.	1	c	3
8319	Ampel	Ampel, Verkehrsampel, Lichtsignal	(N.) Ampel, Verkehrsampel, Lichtsignal	•	•	•	•	•	Nomen	3	a	3
5901	ändern_b	ändern, verändern, wandeln, verwandeln	(V.) ändern, verändern, wandeln, verwandeln$z.B. eine Situation, die Gesellschaft$Notiz: Für diese Bedeutung braucht man im St.Gallen Dialekt die Gebärde ÄNDERN_a.	•	•	•		•	Verb	3	b	3
5768	Andorra_int	Andorra	(N., Name) Andorra (Land) (auch internationale Gebärde)	•	•	•	•	•	Geografie, Name, Nomen	4	d	3
549	Angsthase	ängstlich, schüchtern, feige, Angsthase, Feigling	(N.) Angsthase, Feigling$(Adj.) ängstlich, schüchtern, mutlos, feige	•	•	•	•	•	Charakter, Adj._Adv., Nomen	4	b	3
6600	ankommen	ankommen, eintreffen	(V.) ankommen, eintreffen (Fahrzeug)	•	•	•	•	•	Reisen, Verb	3	a	3
8283	Anzug	Anzug	(N.) Anzug (Hose und Jacke)	•	•	•	•	•	Kleider, Nomen	1	b	3
5208	anzünden	anzünden, entzünden, entfachen, Brandstiftung	(V.) anzünden, entzünden, entfachen, in Brand stecken, Brand legen, Brandstiftung (Kerze, Feuer)	•	•	•	•	•	Verb	4	d	3
8227	Apotheke_1	Apotheke	(N.) Apotheke		•	•		•	Medizin, Nomen	2	c	3
5973	Apotheke_2	Apotheke	(N.) Apotheke				•		Medizin, Nomen	2	c	3
6705	Apotheke_3	Apotheke	(N.) Apotheke	•					Medizin, Nomen	2	c	3
1696	ärgern_a	ärgern (sich), aufregen	(V.) sich ärgern, sich aufregen, aufgeregt sein, verärgert sein, Ärger empfinden	•	•	•	•	•	Charakter, Verb	1	c	3
3443	ärgern_b_1	ärgern, aufregen, wütend, kochen	(V.) sich sehr ärgern, sich sehr aufregen, wütend sein, kochen vor Wut$z.B. Ich rege mich wirklich auf, innerlich koche ich vor Wut!		•	•	•	•	Charakter, Verb	1	c	3
546	ärgern_b_2	ärgern, aufregen, wütend, kochen	(V.) sich sehr ärgern, sich aufregen, wütend sein, kochen vor Wut(alte Form)	•		•			Charakter, Verb	1	c	3
431	Arm	Arm	(N.) Arm (Körperteil)	•	•	•	•	•	Körper, Nomen	1	a	3
1006	Asien_1	Asien	(N., Name) Asien (Kontinent)	•		•	•	•	Geografie, Name, Nomen	4	c	3
5782	Asien_2	Asien	(N., Name) Asien (Kontinent)	•	•	•	•		Geografie, Name, Nomen	4	c	3
6252	Audiologie	Audiologie, Audiologe	(N.) Audiologie, Audiologe (Die Gebärde «Audiologe» wird mit AUDIOLOGIE+MENSCH kombiniert)	•	•	•	•	•	Medizin, Nomen	1	d	3
3105	aufbauen	aufbauen, Aufbau, erschaffen	(V.) aufbauen, erschaffe$(N.) Aufbau$z.B.$- einen Verein aufbauen$- jmd. beim Firmenaufbau behilflich sein	•	•	•	•	•	Büro, Nomen, Verb	1	d	3
2513	aufgeben	aufgeben, entsagen, fallenlassen, aufhören	(V.) aufgeben, fallenlassen, aufhören, nicht weiterverfolgen, nicht fortfahren, Forfait erklären$z.B.$- Suche, Projektarbeit aufgeben, aufhören$- Amt niederlegen, aufgeben$- jmd. aufgeben, keine Hoffnung mehr für Genesung$- es aufgeben, jmd. immer zu ermahnen$- die Gegner geben auf, kapitulieren$- Sportmannschaft/Sportler gibt auf (Forfait erklären)	•	•	•	•	•	Tier, Verb	4	a	3
5841	aufhängen_c_3	aufhängen	(V.) aufhängen (Kleider an einen Haken)	•	•	•	•	•	Kleider, Verb	2	b	3
1651	Aufnahme_a	Aufnahme, Videoaufnahme	(N.) Aufnahme (Video)	•	•	•	•	•	Medien, Nomen	3	d	3
3765	Aufnahme_b	Aufnahme, Fotoaufnahme	(N.) Aufnahme (Film, Video, Foto)	•	•	•	•	•	Medien, Nomen	3	d	3
1014	aufräumen	aufräumen, wegräumen, räumen	(V.) aufräumen, Ordnung machen, wegräumen, räumen$z.B. Zimmer, Schrank, Pult	•	•	•	•	•	Verb	2	b	3
7150	Aufschnitt	Aufschnitt	(N.) Aufschnitt, aufgeschnittenes in Scheiben geschnittenes Fleisch/Wurst/Braten	•	•	•	•	•	Essen, Nomen	4	c	3
5928	aufsitzen	aufsitzen	(V.) aufsitzen (auf Pferd)	•	•	•	•	•	Verb	4	d	3
5875	Auftrag	Auftrag	(N.) Auftrag	•	•	•	•	•	Büro, Nomen	1	c	3
903	Auge	Auge	(N.) Auge (Sehorgan)	•	•	•	•	•	Körper, Nomen	1	a	3
904	Augenbrauen	Augenbrauen, Brauen	(N.) Augenbrauen	•	•	•	•	•	Körper, Nomen	1	a	3
4977	Augenform	Augenform	(N.) Augenform (Formbeschreibung)	•	•	•	•	•	Körper, Nomen	1	a	3
515	aus	aus, leer, fertig, aufgebraucht, ausgegangen, ausgehen, aufgebraucht	(Adj.) aus, leer, fertig, nichts mehr da, aufgebraucht, ausgegangen, ausgehen aufgebraucht (eher für kleine Mengen wie Getränke, Geld etc.)	•	•	•	•	•	Geld, Adj._Adv.	4	c	3
6161	Ausland	Ausland	(N.) Ausland$z.B. ins Ausland reisen	•	•	•	•	•	Reisen, Nomen	3	a	3
7138	ausleeren	ausleeren, ausschütten, ausgiessen	'(V.) ausleeren, ausschütten$z.B. etwas ergoss sich über den Tisch, auf den Fussboden; das Glas fiel um und der Inhalt ergoss sich über den Tisch.'	•	•	•	•	•	Verb	2	b	3
3775	ausleihen	ausleihen	(V.) ausleihen$z.B. ein Buch ausleihen	•	•	•	•	•	Geld, Verb	2	a	3
8370	ausnutzen	ausnutzen, benutzen	(V.) ausnutzen (im positiven wie negativen Sinn)$im positiven Sinn:$z.B. eine Gelegenheit, das gute Wetter ausnutzen$im negativen Sinn:$z.B. seine Mitarbeiter, seine Freunde ausnutzen, benutzen	•	•	•	•	•	Beziehung, Verb	4	d	3
1532	Aussehen	Aussehen	(N.) Aussehen	•	•	•	•	•	Pflege, Nomen	1	d	3
4978	aussen	aussen, ausserhalb, aussenseitig	(Adj.) aussen, ausserhalb, aussenseitig	•	•	•	•	•	Adj._Adv.	3	a	3
184	aussteigen	aussteigen, verlassen	(V.) aussteigen, Fahrzeug verlassen$z.B. Auto, Tram, Bus, Zug	•	•	•	•	•	Reisen, Verb	3	a	3
5217	austauschen	austauschen, verhandeln, besprechen, Austausch, Meinungsaustausch	(V.) austauschen, verhandeln, besprechen (Sache und Meinung)$z.B.$- die Bücher austauschen, tauschen$- einen Austausch machen$- Meinungen austauschen$Hinweis: je nach Menge von Personen wird die Gebärde rund ausgeführt, also untereinander (mit mehreren Menschen) austauschen (Video zeigt: etwas mit einer Person austauschen)	•	•	•	•	•	Beziehung, Verb	1	d	3
1010	Australien_int	Australien, australisch	(N., Name) Australien (Kontinent und Land) (auch internationale Gebärde)$(Adj.) australisch	•	•	•	•	•	Geografie, Name, Nomen	4	c	3
8621	auswendig	auswendig	(Adv.) auswendig (ohne Notizen, Hilfsmittel)	•	•	•	•	•	Schule, Adj._Adv.	3	c	3
1657	ausziehen	ausziehen, entkleiden, abziehen	(V.) sich ausziehen, sich entkleiden, etwas abziehen	•	•	•	•	•	Kleider, Verb	1	b	3
5976	Avocado	Avocado	(N.) Avocado	•	•	•	•	•	Essen, Nomen	4	c	3
1191	Backe	Backe, Wange	(N.) Backe, Wange (Gesichtsteil)	•	•	•	•	•	Körper, Nomen	1	a	3
5133	backen_a	backen	(V.) backen (Teig herstellen)$z.B. Kuchen, Brot	•	•	•	•	•	Essen, Verb	4	c	3
5925	backen_b	backen	(V.) backen (im Backofen)	•	•	•	•	•	Essen, Verb	4	c	3
922	Badehose_a_1	Badehose, Badekleid	(N.) Badehose, Badekleid (Damen)	•			•	•	Kleider, Nomen	3	d	3
6733	Badehose_a_2	Badehose, Badekleid	(N.) Badehose, Badekleid (Damen)		•				Kleider, Nomen	3	d	3
6749	Badehose_a_3	Badehose, Badekleid	(N.) Badehose, Badekleid (Damen)			•			Kleider, Nomen	3	d	3
920	Badehose_b_1	Badehose	(N.) Badehose (Herren)	•		•	•	•	Kleider, Nomen	3	d	3
6732	Badehose_b_2	Badehose	(N.) Badehose (Herren)		•				Kleider, Nomen	3	d	3
923	Badetuch_1	Badetuch, Frottiertuch	(N.) Badetuch, Frottiertuch	•		•	•	•	Haushalt, Nomen	3	d	3
6734	Badetuch_2	Badetuch, Frottiertuch	(N.) Badetuch, Frottiertuch		•				Haushalt, Nomen	3	d	3
5156	Badezimmer_1	Badezimmer, Bad	(N.) Badezimmer, Bad		•	•	•	•	Haushalt, Nomen	2	c	3
5997	Badezimmer_2	Badezimmer, Bad	(N.) Badezimmer, Bad	•					Haushalt, Nomen	2	c	3
1071	Bank_1	Bank, Finanzinstitut, Geldinstitut	(N.) Bank (Firma), Finanzinstitut, Geldinstitut$Kombination: Bankier, Bankangestellter: BANK+PERSON			•	•	•	Geld, Nomen	2	a	3
5043	Bank_2	Bank, Finanzinstitut, Geldinstitut	(N.) Bank (Firma), Finanzinstitut, Geldinstitut$Kombination: Bankier, Bankangestellter: BANK+PERSON	•					Geld, Nomen	2	a	3
5966	Bank_3	Bank, Finanzinstitut, Geldinstitut	(N.) Bank (Firma), Finanzinstitut, Geldinstitut$Kombination: Bankier, Bankangestellter: BANK+PERSON		•		•		Geld, Nomen	2	a	3
5834	Bankomat	Bankomat	(N.) Bankomat	•	•	•	•	•	Geld, Nomen	2	a	3
3797	Bar	Bar, Pub	(N.) Bar, Pub	•	•	•	•	•	Essen, Nomen	1	a	3
3798	Bargeld	Bargeld, Cash	(N.) Bargeld, Cash	•	•	•	•	•	Geld, Nomen	2	a	3
915	Bart_1	Bart	(N.) Bart			•	•	•	Körper, Nomen	4	d	3
5963	Bart_2	Bart	(N.) Bart	•	•				Körper, Nomen	4	d	3
5924	Basilikum	Basilikum	(N.) Basilikum (Gewürz, Pflanze)	•	•	•	•	•	Essen, Nomen	4	c	3
773	Bauch	Bauch	(N.) Bauch (Anatomie)	•	•	•	•	•	Körper, Nomen	1	a	3
972	Baumwolle	Baumwolle	(N.) Baumwolle	•	•	•	•	•	Kleider, Material, Nomen	1	b	3
4294	bedeuten	bedeuten	(V.) bedeuten (Schlussfolgerung, Erklärung)$z.B.$- Rot bedeutet Stopp, stehen bleiben!	•	•	•	•	•	Verb	3	c	3
4618	Beere	Beere	(N.) Beere	•	•	•	•	•	Essen, Nomen	4	d	3
1015	befehlen	befehlen, verordnen, bestimmen	(V.) befehlen, verordnen, bestimmen	•	•	•	•	•	Verb	1	c	3
5827	Vorfreude	Vorfreude, gespannt	(Adj.) Vorfreude haben, freudig gespannt,	•	•	•	•	•	Adj._Adv.	2	c	3
1669	behalten_b	behalten	(V.) behalten	•	•	•	•	•	Geld, Verb	2	a	3
2843	beige	beige, Beige	(Adj.) beige (Farbton)$(N.) Beige (Farbe)	•	•	•	•	•	Adj._Adv., Nomen	1	b	3
3526	Beine	Beine	(N.) Beine (Mensch, Gegenstand)$z.B.$- Tischbeine$- die (beiden) Beine	•	•	•	•	•	Körper, Nomen	1	a	3
3000	beissen_a	beissen, jucken, kribbeln	(V.) beissen (am Körper, es beisst), jucken, kribbeln$z.B.$- es beisst mich an der Hand (s.Video)$- etwas beisst, juckt, ich muss mich kratzen (z.B. Kopf)	•	•	•	•	•	Medizin, Verb	1	b	3
2800	beissen_b	beissen, zubeissen, zuschnappen, schnappen	(V.) beissen, zubeissen, zuschnappen, schnappen (Tier, Mensch)$z.B.$- der Hund hat mich gebissen$- die Katze schnappte sich das Mäuschen$- das Kind hat dem andern in den Finger gebissen	•	•	•	•	•	Verb	4	b	3
6109	Belgien_int	Belgien	(N., Name) Belgien (Land) (auch internationale Gebärde)	•	•	•	•	•	Geografie, Name, Nomen	4	d	3
8258	beliebt	beliebt	(Adj.) beliebt	•	•	•	•	•	Beziehung, Verb	4	d	3
5849	beraten_a	beraten, raten, Beratung	(V.) beraten, raten, mit Rat und Tat beistehen, helfe$(N.) Beratung	•	•	•	•	•	Beziehung, Nomen, Verb	1	b	3
5910	beraten_b	beraten	(V.) beraten (durch Diskussion), Tipps geben	•	•	•	•	•	Beziehung, Verb	1	b	3
2002	Beruf	Beruf, Arbeit, Job, beruflich, Beschäftigung, Tätigkeit	(N.) Beruf, Arbeit, Tätigkeit, berufliche Beschäftigung, Job$Hinweis: Die DSGS kennt BERUF nur als Nomen. In der Deutschübersetzung kann es sinngemäss auch als Adjektiv (beruflich) verwendet werden.$z.B.$- jmd. ist beruflich viel unterwegs	•	•	•	•	•	Büro, Nomen	3	c	3
414	beruhigen	beruhigen, abregen, besänftigen	(V.) beruhigen, abregen, besänftigen$z.B. jemanden beruhigen, besänftigen	•	•	•	•	•	Verb	1	c	3
179	beschimpfen	beschimpfen, schelten, massregeln, schimpfen, ausschimpfen	(V.) beschimpfen, schelten, massregeln, schimpfen, ausschimpfen$z.B. jmd. beschimpfen, mit jmd. schimpfen	•	•	•	•	•	Charakter, Verb	1	c	3
8284	besprechen	besprechen, diskutieren, bereden, Besprechung	(V.) besprechen, diskutieren, berede$(N.) Besprechung	•	•	•	•	•	Schule, Verb	3	c	3
42	beste	beste, Beste	(Adj.) beste, top, meiste$z.B. das beste Restaurant$(N.) Beste$z.B. der Beste im Sport, in der Klasse	•	•	•	•	•	Adj._Adv., Nomen	1	d	3
173	bestimmt	bestimmt, sicherlich, sicher	(Adv.) bestimmt, sicherlich, ganz sicher (betonte Bedeutung)$z.B. Sie wird das bestimmt schaffen.	•	•	•	•	•	Adj._Adv.	3	b	3
6028	bewegen	bewegen, Bewegung, beweglich, Motorik, motorisch	(V.) bewegen (Körper bewegen$(N.) Bewegung, Motorik$(Adj./Adv.) beweglich, motorisch	•	•	•	•	•	Tier, Adj._Adv., Nomen, Verb	4	b	3
2005	Beziehung	Beziehung, Verhältnis, Verbindung	(N.) Beziehung, Verhältnis, Verbindung$z.B. zwischen Personen, Organisationen, Ideen$(V.- Übereinstimm.) mit jmd./etwas in Beziehung stehen$z.B.$- eine gute Beziehung haben, pflegen$- Arbeitsverhältnis$- freundschaftliche Beziehung	•	•	•	•	•	Beziehung, Nomen, Verb	1	d	3
921	Bikini	Bikini, Badeanzug	(N.) Bikini, Badeanzug	•	•	•	•	•	Kleider, Nomen	3	d	3
5940	Bild_c	Bild, Kleinbild	(N.) Bild, Kleinbild	•	•	•	•	•	Haushalt, Nomen	2	d	3
8330	Bleistift	Bleistift	(N.) Bleistift	•	•	•	•	•	Büro, Nomen	2	b	3
5189	blinken	blinken, Blinklicht, Blinker	(V.) blinken (als Ersatz für das akustische Signal der Haustürglocke, des Telefons, des Babyfunks etc.$(N.) Blinklicht (Verkehrssignal$(N.) Blinker am Auto, jedoch in Kombination mit AUTO	•	•	•	•	•	Haushalt, Nomen, Verb	2	b	3
6701	blinzeln	blinzeln, zwinkern, blinken	(V.) blinzeln, zwinkern, blinken (Augen)	•	•	•	•	•	Tier, Verb	4	b	3
50	blöd	blöd, blödsinnig, dumm, unsinnig	(Adj.) blöd, blödsinnig, dumm, unsinnig$z.B. Person, Gruppe, Verhalten, Situation, Idee	•	•	•	•	•	Adj._Adv.	1	c	3
2853	blond	blond, Blondine	(Adj.) blond (Haarfarbe)$Kombination: eine Blondine = FRAU+BLOND	•	•	•	•	•	Körper, Adj._Adv.	1	a	3
5990	Blumenkohl	Blumenkohl	(N.) Blumenkohl	•	•	•	•	•	Essen, Nomen	2	b	3
937	Bluse_1	Bluse, Damenbluse	(N.) Bluse, Damenbluse (Kleidung)	•	•		•	•	Kleider, Nomen	1	b	3
1180	Bluse_2	Bluse, Damenbluse	(N.) Bluse, Damenbluse (Kleidung)	•		•		•	Kleider, Nomen	1	b	3
7240	Bohnen_a	Bohnen, Stangenbohnen	(N.) Bohnen, grüne Bohnen, Stangenbohnen$Form Variante (St.Gall. Dialekt Handform = ausgestreckte Finger 3,4 und 5)	•	•	•	•	•	Essen, Nomen	4	c	3
3451	Bohnen_b	Bohne, Bohnen	(N.) Bohne, Bohnen (weisse, rote, Kaffee_ Bohnen)	•	•	•	•	•	Essen, Nomen	4	c	3
5812	Bonbon_1	Bonbon	(N.) Bonbon	•	•	•	•	•	Essen, Nomen	2	b	3
5056	Bonbon_2	Bonbon	(N.) Bonbon			•		•	Essen, Nomen	2	b	3
261	böse_1	böse, böswillig, bösartig, boshaft	(Adj.) böse, böswillig, bösartig, boshaft$z.B.$- etwas mit/in böser Absicht machen$- bösartige Krankheit	•	•	•	•	•	Charakter, Adj._Adv.	1	c	3
